Index,FEN,Moves
12612,8/5pk1/p7/1p1NrBp1/6P1/5K2/PP2r3/1R6 w - - 7 35,d5c3 e5e3
12613,4rrk1/pp3pq1/2p1n3/5Q2/7R/2N4P/PPP2PP1/6K1 b - - 0 29,g7g6 h4g4 e6g7 g4g6
12614,7k/2p3p1/p1Qp3p/4pr2/2P2q2/P2P2RP/1P4PK/8 w - - 5 31,c6c7 f5g5 c7d8 h8h7 d8g5 h6g5
12615,2k5/p2b2p1/1p3p1p/1P3r2/1KR5/6B1/7P/8 b - - 3 32,c8b7 c4c7 b7a8 c7d7
12616,8/2R3kp/8/p2p2p1/Pp2q3/1P4PP/2Q4K/4r3 b - - 4 38,g7f6 c2f2
12617,r2r4/1b3p1k/2q1p2p/p2n4/Pp4QB/1B6/1PP3pK/RN2R3 w - - 6 30,h4d8 a8d8 g4e4 f7f5
12618,1R6/5ppk/2PQ1n2/3b3p/3P3K/7P/4r3/8 w - - 2 40,c6c7 g7g5 h4g5 f6e4 g5h5 e4d6
12619,2R5/1p5k/p3p2p/3bbp2/B3p2q/4P3/P4PQ1/6K1 b - - 5 35,h4e7 g2g8
12620,3r2k1/1p2qppp/p2Np3/2Pn4/3R4/PP5P/5PP1/3Q2K1 b - - 0 32,d5c3 d6f5 d8d4 f5e7
12621,8/4Q2p/3p2p1/3P2k1/1pP3P1/7P/5P2/q3b1K1 b - - 2 34,g5f4 e7e3
12622,6k1/pB3n2/1p1r4/6pN/P7/8/1b4P1/4R2K b - - 1 45,d6h6 e1e8 g8h7 b7e4
12623,5r2/2pk2R1/1b2p3/1b1pP3/5P2/2P1P2p/3K3P/R7 b - - 2 34,d7c8 a1a8 c8b7 a8f8
12624,r3r3/pp3k2/2nB3p/6p1/4p3/P3R3/5PPP/4R1K1 w - - 2 27,e3e4 e8e4 e1e4 a8d8 d6b4 c6b4
12625,r6k/p4p1p/q2p2pb/2p1n3/5N2/8/2PQ1PPP/1R1R2K1 w - - 4 24,g2g3 e5f3 g1g2 f3d2
12626,8/4k1b1/4p1p1/1p1pP1P1/2pN1P2/2P1P1B1/rPK5/8 b - - 1 38,a2a5 d4c6 e7d7 c6a5
12627,r4rk1/5ppp/b3p3/1q1pP1BP/pp1n2N1/6PB/PP1Q1PK1/4R3 b - - 2 25,d4f5 g4f6 g8h8 h3f5
12628,6r1/1pp2rk1/p3p1p1/5pP1/3Q3R/3P3P/P1P2PK1/4q3 b - - 2 28,e6e5 h4h7 g7h7 d4h4 h7g7 h4h6
12629,r4rk1/5ppp/p2p2q1/2pNn1b1/4PBb1/1P1B4/P1PQ2PP/4RRK1 b - - 9 22,g5f4 d5e7 g8h8 e7g6
12630,7k/pp4pp/2p2n2/2Pp4/1P1r4/P2B4/4RPPP/6K1 w - - 1 29,d3f5 d4d1 e2e1 d1e1
12631,1rb3k1/5p1p/p1Q1pp2/4q3/P1P5/1PN3PP/5P2/5RK1 w - - 3 24,c3e4 c8b7 c6d6 b7e4 d6e5 f6e5
12632,r1br2k1/5p2/ppnqpp1Q/2p5/2P5/P1NP2P1/1P2B2P/5R1K b - - 0 23,f6f5 c3e4 d6e5 e4f6 e5f6 h6f6
12633,r6k/pp3R1B/4b1p1/8/2P4P/1P1n2Q1/P5PK/q7 w - - 2 28,f7b7 d3e5 h7g6 e5g4 g3g4 e6g4
12634,r7/pp3R2/4p1p1/2n3k1/6P1/6KP/PPP5/8 b - - 7 25,a8d8 h3h4 g5h6 g4g5 h6h5 f7h7
12635,r2q1r1k/5p1p/3p4/p1pPnR2/1pP1PQ1N/1P4PB/P7/6K1 b - - 8 30,e5g6 f4h6 g6h4 f5h5
12636,1bkr4/p4p1p/bqp1p1r1/3pQ3/1PP5/5N2/P2N1PPP/R1B1R1K1 w - - 5 20,c4c5 b8e5 c5b6 e5a1
12637,5r1k/p2q2pp/1p1R4/1Pp3P1/P2pN1rP/8/4Q2K/4R3 b - - 1 37,g4e4 d6d7 e4e2 e1e2
12638,8/p7/1p3k2/8/4b3/2P5/Pr3PPP/4R1K1 w - - 0 33,e1e4 b2b1 e4e1 b1e1
12639,1r3rk1/2qn2bp/b1p3p1/2n1p3/2P5/1PN2B1P/P4PP1/1RBQR1K1 b - - 0 20,a6c4 b3c4 b8b1 c3b1
12640,8/8/1p6/2b1RR2/P7/6k1/r7/7K w - - 0 43,f5h5 a2a1 e5e1 a1e1
12641,2r2bk1/1p3Rp1/1p2p3/2n2qNQ/2p5/2P4P/6K1/8 b - - 7 37,f5c2 f7f2 c2f2 g2f2 c5e4 g5e4
12642,2r1n1k1/6pp/8/1pNb4/1P6/7P/2B2P2/R5K1 b - - 0 32,e8d6 a1d1 d5c4 d1d6
12643,r1r5/5pkp/b4np1/8/B3P3/2B5/P4KPP/R6R w - - 6 24,a1c1 c8c3 c1c3 f6e4 f2e3 e4c3
12644,2r4k/pp4pp/2b5/8/2BRnrP1/2P2N1P/PP3P2/R5K1 w - - 5 22,a1d1 f4f3 d4d8 f3f8 d8c8 f8c8
12645,5k2/8/p4BR1/1p1PP3/8/5q2/Pr2nP1R/3Q3K w - - 2 43,g6g2 e2g3 f2g3 f3d1
12646,8/4kpb1/1qpNp1p1/3pP1P1/p4P2/1P6/P1P5/2K4Q b - - 0 25,a4b3 d6c8 e7d7 c8b6
12647,2kr1b1r/pp3ppp/2p1p3/8/3q4/1P1N3P/P1PQ1PP1/3RR1K1 b - - 2 20,f8b4 d2b4 d4b4 d3b4 d8d1 e1d1
12648,4rk1r/pbpn2bp/1p2P1p1/6q1/2B5/P1N5/1P2QPPP/3RR1K1 w - - 1 21,d1d7 g5g2
12649,8/pR6/3pQ1pp/3Pp3/4Pr1k/4qP2/P1r4N/6RK w - - 5 32,e6e7 h4h3 e7e6 f4f5 g1g3 h3g3
12650,8/5k2/p2p3P/1p2p3/2pr2P1/5PK1/PPR5/8 b - - 0 47,f7g6 c2h2 g6h7 g4g5
12651,8/5pp1/1P2pk1p/R2p4/3PbP2/4P1P1/5K1P/1r3B2 w - - 1 35,a5a6 b1f1 f2f1 e4d3 f1f2 d3a6
12652,2r3k1/1p2ppb1/1r4pp/2NP4/2n2pP1/7P/P1B1Q3/1KR4R w - - 1 33,c2b3 c4a3
12653,r5k1/1p1b2pp/3p1q2/1p1P4/P3pr2/7P/3QBPP1/R4RK1 w - - 0 21,e2b5 d7b5 d2f4 f6f4
12654,8/3R2pk/4p3/8/4r2p/1P5P/1r2n1PK/4RN2 b - - 1 35,b2b3 f1d2 b3e3 d2e4
12655,4Q1k1/ppp3pp/5r2/3p4/5b2/2P2BqP/PPK3P1/5R2 b - - 2 34,f6f8 f3d5 g8h8 e8f8
12656,r4qk1/pppn2p1/4b2p/3pN3/3P4/2PB2PP/PPQ3K1/5R2 b - - 1 20,f8d6 d3h7 g8h8 e5g6 h8h7 g6f8 h7g8 c2h7
12657,rnb2rk1/pp2nq2/4p1p1/3pN1Bp/8/P2B3Q/2P2PP1/3K3R b - - 5 20,f7f2 e5g6 e7g6 h3h5 f8f6 d3g6
12658,8/p3R1pk/1r5p/8/P3p3/1P1p4/3P2KP/8 w - - 3 39,e7a7 e4e3 d2e3 b6d6 a7f7 d3d2
12659,r6k/p5pp/1p2Q3/2P3q1/4p3/2P5/PP1R1rPP/2K4R w - - 3 22,h1d1 f2d2 d1d2 a8d8 e6d6 d8d6 c5d6 e4e3
12660,1k2q3/p4P1p/1pp3p1/3pr3/6P1/P6P/BPP2Q2/1K2r2R w - - 1 35,h1e1 e5e1 f2e1 e8e1
12661,3rr1k1/p1p3pp/1n2q3/2Q5/1PP1Np2/P1b2P2/6P1/2R1R1K1 w - - 0 29,c1c3 b6a4 c5h5 a4c3 e4f6 g7f6
12662,4r1kr/3bbq1p/2p2p2/p2p3N/1p1P4/5Q1P/PPP3P1/4RRK1 b - - 3 26,h7h6 e1e7 e8e7 f3g3 g8f8 f1f6
12663,6r1/5p2/6kP/1p2p3/6K1/2p3N1/8/7R w - - 0 46,g3e4 f7f5 g4f3 f5e4
12664,8/1k6/5Np1/p3p1Pp/2P1b2P/P7/3K4/8 b - - 3 41,e4b1 f6d7 b7c6 d7e5
12665,3qr1k1/6p1/1p2r2p/p3np2/3p4/P2P3P/1PPQR1PN/4R1K1 w - - 0 27,d2f4 e5d3 c2d3 e6e2
12666,r5rk/1pp3p1/pn1p4/4PQ1p/3P3q/1P5P/P4PP1/RN3RK1 b - - 0 21,h4d4 f5h5
12667,8/4pp2/1p4p1/1P6/1k2K1P1/4P2P/8/8 b - - 0 42,b4b5 h3h4 b5c4 h4h5
12668,1B6/8/1P5K/5p2/1P2k1p1/P2r4/8/8 b - - 0 47,d3d7 b8c7 f5f4 b6b7 d7c7 b7b8q
12669,2kr2r1/pp2np1Q/1np2P2/3bq3/8/2NB2P1/PPP4P/R4RK1 w - - 1 20,f6e7 g8g3 h2g3 e5g3
12670,6k1/2r2ppp/4p1b1/2pB4/8/6P1/PR3P1P/6K1 b - - 0 31,e6d5 b2b8 c7c8 b8c8
12671,2r5/p4Bk1/7p/4p3/4b3/P1P1p3/2P3PP/5RK1 w - - 5 26,c3c4 e3e2 f1e1 g7f7
12672,4rrk1/p5pp/1p1Rb2q/8/1PB2pnP/P5B1/2Q2PP1/5RK1 w - - 0 26,g3h2 h6h4 h2f4 f8f4 c4e6 e8e6
12673,8/3R2pk/1q5p/4pp2/r1B1bP2/2Q1P2P/6P1/6K1 w - - 0 34,f4e5 b6b1 g1f2 a4a1 c3a1 b1a1
12674,8/8/2r4p/4k1p1/6P1/r1p1KP1P/P1R5/4B3 b - - 6 48,c6c7 e1g3 e5d5 g3c7
12675,3r4/2p1k3/1p3bPp/p2B4/2P3P1/1P2K3/3p4/3R4 w - - 1 39,e3d2 c7c6 d1e1 e7f8 e1e6 f6g5 d2c3 c6d5
12676,3r2kr/pB3ppp/P7/2Q1Nq2/3n4/8/1P3PP1/R1B2R1K w - - 1 27,a1a4 f5h5 h1g1 d4e2
12677,8/1p6/2p3kp/p7/P1P2KP1/1P6/8/8 w - - 0 40,f4f3 c6c5 f3f4 g6f6
12678,8/4bQ2/3pN3/3Pp3/4P3/4K3/8/5k1q b - - 3 52,f1e1 f7f2 e1d1 f2d2
12679,1k6/ppp2Q1p/2P5/8/8/2R4P/PP1qr1PK/4rR2 w - - 3 27,f1e1 e2g2 h2h1 g2h2 h1g1 d2g2
12680,8/2q5/8/8/5r2/4K3/Q1k5/8 b - - 5 66,c2d1 a2d2
12681,7R/5p2/5N1n/4K3/7k/7p/5r2/8 b - - 4 46,h4g5 f6e4 g5g6 e4f2
12682,4Q3/6kp/p5p1/2p2n2/1nP2P2/3Pb1qP/6P1/2B1R2K w - - 7 39,e8d7 g7h6 e1e3 f5e3 c1e3 g3e3
12683,2r1k2r/b2qnpp1/p1RP3p/1p6/5p2/1B3P2/PP3P1P/3QR1K1 b k - 0 20,c8c6 e1e7 e8d8 e7d7
12684,6k1/p2nrpp1/2p2n2/1p4B1/3P3P/2PQ1Pq1/P1B3P1/5RK1 w - - 4 23,d3f5 e7e2 f5h3 g3h3 g2h3 e2c2
12685,3r4/4RBp1/2b2n2/1p4Np/1p3P1k/3p4/1P3KP1/8 b - - 3 33,d3d2 g2g3 h4g4 f7e6
12686,b4rk1/p4p2/1p1Q2p1/2p1n3/2P4q/1P2PpNP/P4P2/3RN1K1 b - - 2 31,h4g5 h3h4 g5h4 d6e5
12687,5rk1/5ppp/8/2RQ4/8/1P2P2P/4rqP1/3R3K w - - 2 26,c5c3 e2e1 d1e1 f2e1 h1h2 e1c3
12688,5rk1/pr6/1pq1p1pQ/4Pp2/3P3R/8/7P/5RK1 b - - 3 28,g8f7 f1c1 c6d7 d4d5
12689,4k3/p5pp/8/3R1p2/1P6/2P2n1P/P2n2K1/8 w - - 1 37,d5f5 f3h4 g2g3 h4f5
12690,3rkbr1/pp3pBp/4b3/3N1p2/8/P5Q1/1q3PPP/3RR1K1 b - - 0 21,b2g7 d5c7 e8e7 c7e6 f7e6 g3c7
12691,8/5p2/2p2p1p/2P5/1K1k2P1/7P/8/8 b - - 0 39,d4d3 b4a5 d3e4 a5b6 f6f5 g4f5 e4f5 b6c6
12692,6k1/1bp2ppp/p4n2/1pqPr3/8/1PNQ2PP/P1P2PB1/3R1K2 w - - 2 23,f2f4 e5e3 b3b4 c5c3 d3c3 e3c3
12693,8/3n2pp/4kp2/RP2p3/P7/3p4/2r3PP/2R3K1 w - - 0 36,c1c2 d3c2 a5a6 e6d5
12694,1r2k1r1/3n1p2/p1Qbb2p/1B2p3/1q6/2N1P3/PPPB2PP/1K1R3R w - - 0 19,c3d5 b4b5 d5f6 e8e7 f6g8 b8g8
12695,Q1b2q1k/p2n2bp/1p4p1/8/2pp4/2P5/PPBB2PP/RN4K1 w - - 0 20,c3d4 g7d4 d2e3 d4e3 g1h1 f8f1
12696,6k1/2q1bppp/4p3/N2pN3/Q2P4/4P1P1/P4PPK/1r6 b - - 6 28,c7c1 a4e8 e7f8 e8f7 g8h8 f7f8
12697,r6r/pp3p2/2p2kpp/2b5/2N1Rp1P/8/PPP2P2/2KR4 b - - 2 20,f6f5 e4e5 f5f6 e5c5
12698,5r2/pp3ppk/3b3p/4p3/6QR/P2q4/1P6/K5R1 b - - 5 26,f8g8 h4h6 g7h6 g4g8
12699,5r1k/6pp/1qp1r2N/pp4Q1/8/7P/PP3P2/R4RK1 w - - 0 34,h6f5 e6g6 g5g6 h7g6
12700,8/P6R/8/r4p2/5k2/8/1K6/8 b - - 2 38,f4f3 h7h3 f3e4 h3a3 a5a7 a3a7
12701,r5k1/3q1ppp/3p1b2/2pP4/1pP5/rP1QRN1P/5PP1/4R1K1 b - - 4 27,f6c3 d3f5 c3e1 f5d7 e1f2 g1f2
12702,8/1p4pk/2bp3p/1p2q3/1P2P3/3P3P/2BQ2K1/8 b - - 9 40,d6d5 d3d4 e5e7 e4d5 h7g8 d5c6
12703,r6k/p5pp/8/3QP3/2p5/4q3/2P3PP/5R1K b - - 2 27,a8e8 d5f7 e8g8 e5e6
12704,2q2rk1/p4p1p/1pr5/3pb1B1/8/PP2P2P/2n1QPP1/1NRR2K1 w - - 0 26,d1d5 c2d4 d5d4 c6c1
12705,6k1/q5pp/Prp1p3/2Qb1p2/1P1P4/4PP2/6PP/R5K1 w - - 0 35,c5b6 a7b6 a6a7 c6c5 a7a8q d5a8 a1a8 g8f7
12706,1r5k/6pp/p7/5p2/8/Pqp5/2R2QPP/K3R3 w - - 2 35,e1c1 b3a3 c2a2 a3c1
12707,1rn2k2/1ppqnrp1/7p/1PPp1p2/3P1P1Q/3BP2P/6RK/6R1 b - - 0 36,c7c6 g2g7 f7g7 h4f6 f8e8 g1g7
12708,4r1k1/7p/2b3p1/4qp2/4n3/5B2/3NR1PP/1Q5K b - - 1 34,e4d2 b1a2 g8g7 e2e5 e8e5 a2d2
12709,r5Qk/4P1pp/7N/5p2/4pP1P/6P1/1P2qBK1/8 b - - 8 37,a8g8 h6f7
12710,2b5/4p1kp/2p1pbp1/1pN1n3/1P2NQ2/3BP2P/2P3PK/q7 b - - 1 26,a1e1 e4f6 e7f6 c5e4
12711,3q4/R4Bpk/p5bp/8/1P1Qn3/P4P2/1B3KPP/2r5 w - - 0 29,f2e3 c1e1 e3d3 e1d1
12712,5rk1/pp3Rpp/3Nr3/4P2Q/3p4/P6P/1Pq3P1/7K b - - 0 26,e6g6 f7f8 g8f8 h5f3 g6f6 e5f6 c2b1 h1h2
12713,3r2k1/2q3p1/p1p3Qp/6P1/5P1b/4P2P/PPr5/R4RK1 b - - 0 25,d8d2 g6e8 g8h7 g5g6
12714,8/2k5/p6P/8/1p6/r2N2R1/2p5/6K1 w - - 2 42,h6h7 a3d3 g3d3 c2c1q
12715,5r1k/pppq2pp/3p3P/5NP1/1P2r3/P7/1Q1P4/3K1R2 b - - 0 31,d7a4 d1c1 e4c4 c1b1 a4c2 b2c2
12716,6r1/p1p2p1r/4k3/8/3RP3/1P4P1/P1P2P2/R5K1 w - - 1 24,g1f1 h7h1 f1e2 h1a1
12717,1q3rk1/1p3pp1/2p1p2p/3P1b2/1PP2n1P/5P2/3Q4/B4BRK b - - 0 28,e6e5 d2f4 e5f4 g1g7 g8h8 g7f7 h8g8 f7g7
12718,q4r1k/2p1Nbp1/p6p/8/P4Q2/2PP2PP/1P1B2P1/4RK2 w - - 9 32,f4e4 f7d5 f1g1 d5e4
12719,2r3k1/1p4pp/3p4/p2P1p2/Pn2n3/6P1/4PPBP/RN4K1 w - - 0 21,g2e4 c8c1 g1g2 f5e4
12720,R4bk1/6pp/8/6P1/7P/1PPB2q1/2P4r/1K3R2 b - - 6 33,h2f2 d3c4 g8h8 a8f8 f2f8 f1f8
12721,1k3r2/1pp3q1/p1pb4/8/4Q3/3PBR2/PP5P/7K b - - 0 36,f8f3 e4e8
12722,r4rk1/1b4pp/1q2pb1n/pp1p4/1Pp2P2/P1N3PB/1BPPQ2P/2KR3R b - - 1 22,a5b4 e2e6 b6e6 h3e6 g8h8 a3b4 d5d4 c3b5 c4c3 d2c3 b7h1 d1h1
12723,5k2/r2r4/3P4/p2Q4/1p6/8/PK6/8 b - - 2 55,f8e8 d5g8
12724,8/8/4p3/1k2P1K1/8/8/8/8 b - - 3 45,b5c6 g5g6 c6c5 g6f7 c5d5 f7f6
12725,3r1rk1/1p3p1p/p5p1/1q2bQ2/4B3/P7/1P3PPP/R3R1K1 w - - 0 22,f5g5 e5h2 g1h2 b5g5
12726,8/6r1/8/8/1p1k2P1/3p2P1/3K4/2R5 w - - 3 46,c1f1 g7e7 f1f4 e7e4 f4f8 e4e2
12727,2r3k1/ppb3p1/3q3p/8/2Pp2r1/3P4/PP2QP1P/R1B2RK1 w - - 2 23,e2g4 d6h2
12728,8/Pb6/8/2k2p2/1N4p1/1P1KP1P1/8/8 w - - 1 50,b4a6 b7a6 d3c2 a6b7
12729,6r1/3n2p1/r3p1P1/3p3R/1ppP2k1/7R/PP2N1P1/1K6 b - - 15 37,d7f6 h3h4
12730,8/2n5/4k3/p4p2/2P2P2/2P3KB/8/8 w - - 3 51,g3f3 a5a4 h3f1 a4a3
12731,5k2/5p2/5p1P/8/3P2P1/q1P5/p1Bn1PK1/Q7 w - - 1 44,h6h7 a3a8 g2g1 f8g7
12732,k3r1r1/1p5Q/p4b2/2RPn3/q3P3/4B3/PP3PPP/1R4K1 w - - 3 29,c5c7 e5f3 g1h1 g8h8 g2f3 h8h7
12733,r4rk1/1p4pp/pq1p1b2/3P1Q2/5B2/1P3B2/P4PPP/5RK1 b - - 0 20,f6e5 f5e6 g8h8 f4e5 a8e8 e6d6 b6d6 e5d6
12734,1b6/1P6/6p1/4p3/2k1K3/2P3P1/7P/8 b - - 0 41,c4c3 h2h4 c3b4 g3g4 b4c5 h4h5 c5d6 h5h6
12735,8/3kNp2/p2N3B/1p1nn3/1P2K3/2P5/8/8 b - - 1 42,d7d6 e7f5 d6e6 f5d4 e6f6 e4d5
12736,5r1k/ppp3pp/8/7n/1PB1N3/PN2RnPK/1R3P2/3r4 w - - 1 34,h3g4 f3e5 g4h3 e5c4 b2e2 c4e3
12737,1r3r2/1P4k1/P1bp3p/2pq4/6pN/8/2Q2RPK/R7 b - - 3 39,f8f2 c2f2 d5e5 f2g3 e5g3 h2g3
12738,8/2p2pkR/1rBq2p1/4p1P1/3p2n1/3P4/PPPBK3/7R b - - 2 31,g7f8 h7h8 f8e7 h8e8
12739,r3k2r/5p2/p3qBp1/4Pp1p/PbpP4/1nN2b1P/2Q2PP1/1R3RK1 w kq - 0 24,f6h8 b3d4 c2c1 b4c3
12740,3r4/6p1/4kp1p/4pN2/ppnbP1PP/3N1P2/P1P5/2KR4 w - - 2 34,d3b4 d4b2 c1b1 d8d1
12741,2r4k/6b1/2Q4p/p1P2q2/8/3R2P1/P1KB4/8 w - - 3 38,c6d5 c8c5 d5c5 f5c5
12742,1rr3k1/5p1p/p5p1/1pBR1P2/4pbP1/2P4P/PP6/1R4K1 w - - 1 30,b1d1 c8c5 d5c5 f4e3 g1f1 e3c5
12743,3N2k1/6p1/pBp2p2/PbPp1n2/8/4KP1P/6P1/8 w - - 5 43,e3f4 d5d4 f4f5 d4d3
12744,8/1k6/1P2p3/2PpPp2/N4Pp1/1np3P1/4K3/8 w - - 0 49,e2d3 d5d4 c5c6 b7c6
12745,r5k1/ppp3pp/2n1p3/6NQ/3q4/8/P5PP/5R1K b - - 3 19,h7h6 h5f7 g8h8 f7f8 a8f8 f1f8
12746,1r6/2b3p1/6kp/p4rp1/P3Q2B/2q1P1P1/2p2P1P/2R1R1K1 w - - 5 34,c1c2 c3e1 g1g2 e1b4 c2c6 c7d6
12747,6k1/2q2pp1/2P1p2p/8/4pR2/rr4P1/4PQ1P/2R3K1 b - - 3 26,b3b6 f4f7 c7f7 f2b6
12748,1r4k1/2p2p2/r1n1p2p/3pP1p1/pP1P4/R5R1/1P1B1PPP/6K1 w - - 2 27,d2g5 h6g5 g3g5 g8f8
12749,r6r/pp3R2/6kN/8/6p1/2P3P1/PP3PP1/R6K w - - 1 29,f7b7 h8h6 h1g1 a8h8 f2f3 h6h1 g1f2 h1a1
12750,2k1r1r1/Rp3p1p/2qb1p2/4n3/3p4/1P1N1P2/2PB2PP/3QR1K1 b - - 0 23,e5f3 d1f3 c6f3 e1e8 g8e8 g2f3
12751,1r3rk1/2R4p/3p1bpQ/4p3/p3P3/6PP/PP4B1/1KRq4 b - - 5 26,d1d3 b1a1 f6e7 c7e7
12752,6k1/5pp1/7p/1P6/4p3/4Q1P1/q1r1PP1P/1R4K1 w - - 1 32,e3b3 c2c1 b1c1 a2b3
12753,4r1k1/5pp1/1Q6/3p3p/P1P5/3q2P1/1B2r1BP/2R3K1 w - - 1 29,b6d4 e2e1 c1e1 e8e1 g1f2 d3e2
12754,k2r1r2/p5p1/BpR1n3/3p1q2/N2P2b1/P3P1B1/1P5P/2Q3K1 b - - 6 29,e6g5 a6b7 a8b7 c6b6 a7b6 c1c7 b7a6 c7b6
12755,r1n2rk1/1pBq1p1p/pP3Pp1/3pP3/2nN4/N1PQ4/7P/2R4K b - - 0 27,c4a3 d3e3 g8h8 e3h6 f8g8 d4f3 d7g4 f3g5 g4g5 h6g5
12756,r4rk1/p4p2/1pN2np1/3pq2p/1P5Q/P3P3/5PPP/R2R2K1 b - - 5 23,e5f5 c6e7 g8h7 e7f5
12757,6k1/3R1p1p/3p2p1/3b1PP1/NPrN4/7P/5K2/8 b - - 0 31,c4d4 d7d8 g8g7 f5f6
12758,1k2r3/1p2r3/pb6/3pNp1q/3P3P/P1NQP1P1/1K2RP2/8 b - - 1 40,e8c8 c3d5 e7e5 d4e5
12759,4r1rk/1p1R2p1/pp2Q2p/5p2/5P1q/1P6/PB4PP/3R2K1 w - - 6 22,e6g6 e8e1 d1e1 h4e1
12760,8/p2b3p/1p1k2p1/3B1p2/1P1K3P/P5P1/1P6/8 b - - 0 36,d7c6 d5c6 d6c6 d4e5
12761,r1bq1r2/pp1p2bk/2nN2p1/3B1nP1/2P2pQp/2N4P/PP3P1K/R1B2R2 b - - 2 20,f5d6 g4h4 g7h6 h4h6
12762,6k1/pP6/5KP1/8/8/6r1/7p/8 b - - 0 57,g3a3 b7b8q
12763,5r1k/2p5/p3p2q/1p1pN2p/3P1P2/2P2Q1P/PP1K1P2/8 b - - 0 35,h6f4 f3f4 f8f4 e5g6 h8g7 g6f4
12764,3Rr1k1/p1r1ppbp/6p1/6B1/8/8/P4PPP/3R2K1 b - - 2 25,e8d8 d1d8 g7f8 g5h6 c7c1 h6c1
12765,1r6/2ppk3/4B1Qp/p5p1/4Pq2/2b5/2R2P2/3K3R w - - 0 30,c2c3 b8b1 d1c2 b1h1
12766,rn1R2rk/5ppp/b3p3/1B6/7Q/P4q2/1PP4P/1K4R1 b - - 3 22,a6b5 d8g8 h8g8 h4d8 b5e8 d8e8
12767,2q2rk1/1p3ppp/p1b1p3/P1Q1P3/4NP2/8/1PP3PP/3R3K w - - 1 23,e4d6 c6g2 h1g2 c8c5
12768,6k1/6p1/7p/4pp2/5b2/3R2PP/3p1P2/5K2 b - - 0 38,e5e4 d3d8 g8f7 g3f4 d2d1q d8d1
12769,6k1/4R1pb/5p2/5P2/2N1n1P1/1Pr5/6KP/8 b - - 0 38,e4c5 e7e8 g8f7 c4d6
12770,r5k1/pp3p1p/4rppQ/2p2P2/8/1P1P4/P1P1qP1P/2KR2R1 b - - 0 21,e6e5 f5g6 h7g6 g1g6 f7g6 h6g6
12771,2R5/P6R/3kn3/6b1/8/5P1B/P4PKP/4r3 w - - 1 37,a7a8q e6f4 g2g3 e1g1 h3g2 g1g2
12772,2kr1r2/ppp1q2p/1b1p1p2/4n3/2BPP1np/N1P4Q/PP4PP/4RR1K b - - 1 18,e5c4 h3g4 f6f5 f1f5
12773,2r5/1r3k1p/6pP/3pBpP1/b4P2/3PR3/2PK4/4R3 w - - 5 37,e5c3 d5d4 e3e7 b7e7 e1e7 f7e7
12774,8/8/6p1/5k1p/3p1P2/3K2P1/7P/8 b - - 0 38,g6g5 f4g5 f5g5 h2h3 g5f5 d3d4 f5e6 d4e4
12775,8/6p1/4p2p/3bKP2/1P4k1/8/7P/8 b - - 0 46,e6f5 e5d5 f5f4 d5e4
12776,2r2r1k/2p4p/pnBbQqp1/1p4N1/8/8/PP3PPP/3R1RK1 w - - 0 22,e6g4 h7h5 g4d4 d6e5 d4e4 f6g5
12777,r2q2r1/1p3pbk/p2p1nbp/2nPpN1P/4P3/1PN1QP1B/P6P/R5RK b - - 0 23,g6h5 g1g7 g8g7 e3h6 h7g8 h6g7
12778,8/1p4k1/p5pp/8/1Pb1N1P1/4p2P/1P6/6K1 b - - 0 44,g7f7 e4d6 f7e6 d6c4 e3e2 g1f2
12779,4Q3/6k1/5qp1/6K1/8/6P1/6P1/8 w - - 1 56,g5g4 f6f5 g4h4 f5h5
12780,8/8/1p1rpk2/2p5/P1B2Pp1/1PP3Pp/2K1R2P/6b1 w - - 3 37,e2e5 g1h2 c4e2 h2g3
12781,r5k1/pppn2pp/3b2r1/3P4/7q/1PNPB2P/1PQ2PP1/R4RK1 w - - 3 20,c3e4 h4h3 e4g3 g6g3 f2g3 h3g3
12782,8/6pk/QN2p2p/P4p2/7r/5P2/1q3P1P/4RK2 w - - 3 38,a6c8 h4h2 c8c5 h2h1 f1g2 h1e1
12783,7r/p4kq1/2p2br1/5pB1/4pP1P/2PbQ3/PP4P1/3RR2K b - - 2 29,f7e6 e3d3 f6g5 e1e4 f5e4 d3e4 e6f7 f4g5
12784,6r1/1p1q1p1k/p2p1QpP/3Pp1B1/2RbP3/1P6/4rPP1/5RK1 w - - 6 30,f1c1 e2f2 f6f2 d4f2 g1f2 d7g4
12785,5r2/p5p1/Np1Q4/3Bp1qk/2PP4/2P4p/P6K/8 w - - 8 39,d6e5 g5e5 d4e5 h5h4
12786,6k1/3r2p1/p1r1p3/1p6/2nPP1Q1/3KBP2/P1R4P/8 w - - 1 31,c2g2 c4e5 d3d2 e5g4
12787,r1b2r2/p2p2pp/1p1Np1k1/4n3/5P2/2q3P1/2P1B2P/R2Q1K1R b - - 0 29,c3c6 e2d3 g6h6 d3e4
12788,2rr4/4ppkp/p4bp1/q7/1pPp1B2/1P1R1Q2/5PPP/2R3K1 b - - 2 27,e7e5 f4h6 g7h6 f3f6 e5e4 d3h3
12789,8/3R4/2n2kp1/1p3p1p/2bP4/8/7P/rB3RK1 w - - 3 33,d7d6 f6e7 d6c6 c4f1 g1f1 a1b1
12790,1r6/Rp1k4/1np4p/2Np2p1/6K1/2P1P3/1P4P1/8 b - - 2 35,d7c7 c5a6 c7c8 a6b8
